iter	Passed	Remaining
0	58	57970
1	58	29324
2	59	19719
3	59	14902
4	60	11999
5	60	10051
6	61	8662
7	61	7619
8	61	6812
9	62	6178
10	62	5656
11	63	5226
12	63	4853
13	64	4542
14	65	4276
15	65	4034
16	66	3818
17	66	3625
18	66	3450
19	67	3295
20	67	3152
21	68	3026
22	68	2909
23	68	2801
24	69	2702
25	69	2613
26	70	2530
27	70	2452
28	71	2379
29	71	2311
30	71	2246
31	72	2188
32	72	2133
33	73	2079
34	73	2030
35	74	1982
36	74	1938
37	74	1895
38	75	1854
39	75	1818
40	76	1782
41	76	1751
42	77	1719
43	77	1689
44	78	1660
45	78	1633
46	79	1607
47	79	1578
48	80	1552
49	80	1528
50	80	1503
51	81	1479
52	81	1457
53	81	1435
54	82	1413
55	82	1393
56	83	1374
57	83	1355
58	83	1337
59	84	1319
60	84	1302
61	85	1287
62	85	1272
63	85	1256
64	86	1242
65	86	1229
66	87	1214
67	87	1198
68	87	1185
69	88	1172
70	88	1159
71	88	1146
72	89	1133
73	89	1120
74	89	1109
75	90	1098
76	90	1088
77	91	1079
78	91	1071
79	92	1062
80	92	1052
81	93	1044
82	93	1034
83	93	1024
84	94	1013
85	94	1005
86	94	994
87	95	986
88	95	977
89	95	969
90	96	961
91	96	953
92	97	946
93	97	938
94	97	930
95	98	922
96	98	915
97	98	908
98	99	901
99	99	894
100	99	888
101	99	880
102	100	873
103	100	867
104	101	861
105	101	856
106	101	850
107	102	844
108	102	838
109	102	833
110	103	827
111	103	821
112	104	816
113	104	811
114	104	805
115	105	800
116	105	796
117	106	792
118	106	787
119	106	783
120	107	778
121	107	773
122	107	767
123	108	763
124	108	758
125	108	754
126	109	749
127	109	744
128	109	739
129	109	735
130	110	732
131	110	727
132	111	723
133	111	719
134	111	715
135	112	711
136	112	708
137	112	703
138	113	700
139	113	697
140	114	695
141	114	692
142	114	688
143	115	685
144	115	681
145	115	678
146	116	675
147	116	671
148	117	668
149	117	665
150	117	662
151	118	658
152	118	655
153	118	652
154	119	649
155	119	647
156	120	644
157	120	641
158	120	639
159	121	637
160	121	634
161	122	632
162	122	629
163	122	626
164	123	623
165	123	620
166	123	618
167	124	615
168	124	612
169	124	610
170	125	607
171	125	604
172	126	602
173	126	599
174	126	597
175	127	595
176	127	592
177	127	590
178	128	588
179	128	586
180	128	583
181	129	581
182	129	578
183	130	576
184	130	574
185	130	572
186	131	569
187	131	567
188	131	565
189	132	563
190	132	560
191	132	558
192	133	556
193	133	556
194	134	554
195	134	553
196	135	551
197	135	549
198	135	547
199	136	544
200	136	543
201	136	540
202	137	539
203	137	537
204	138	535
205	138	533
206	138	531
207	139	529
208	139	527
209	139	525
210	140	523
211	140	521
212	140	520
213	141	518
214	141	516
215	141	514
216	142	512
217	142	510
218	142	508
219	142	506
220	143	504
221	143	503
222	143	501
223	144	499
224	144	497
225	144	495
226	145	494
227	145	492
228	145	490
229	145	488
230	146	486
231	146	485
232	146	483
233	147	481
234	147	480
235	147	478
236	148	477
237	148	476
238	149	474
239	149	473
240	149	471
241	150	469
242	150	468
243	150	466
244	150	465
245	151	463
246	151	461
247	151	460
248	152	458
249	152	456
250	152	455
251	152	453
252	153	452
253	153	450
254	153	449
255	154	447
256	154	446
257	154	445
258	155	443
259	155	442
260	155	441
261	156	439
262	156	438
263	156	436
264	156	435
265	157	434
266	157	432
267	157	431
268	158	430
269	158	428
270	158	427
271	159	426
272	159	424
273	159	423
274	160	421
275	160	420
276	160	419
277	160	418
278	161	416
279	161	416
280	162	415
281	162	414
282	163	413
283	163	411
284	163	410
285	164	409
286	164	408
287	164	407
288	165	406
289	165	405
290	165	403
291	166	402
292	166	401
293	166	400
294	166	398
295	167	397
296	167	396
297	167	395
298	168	394
299	168	393
300	168	392
301	169	391
302	169	390
303	169	388
304	170	387
305	170	386
306	170	385
307	171	384
308	171	383
309	171	382
310	172	381
311	172	380
312	172	379
313	172	377
314	173	376
315	173	375
316	173	374
317	174	373
318	174	372
319	174	371
320	175	370
321	175	369
322	175	368
323	176	367
324	176	367
325	177	366
326	177	365
327	177	364
328	178	363
329	178	362
330	178	361
331	178	360
332	179	359
333	179	358
334	179	356
335	180	355
336	180	354
337	180	353
338	181	352
339	181	351
340	181	350
341	181	349
342	182	349
343	182	348
344	183	347
345	183	346
346	183	345
347	183	344
348	184	343
349	184	342
350	184	341
351	185	340
352	185	339
353	185	339
354	186	338
355	186	337
356	186	336
357	187	335
358	187	334
359	187	333
360	187	332
361	188	331
362	188	330
363	188	329
364	189	329
365	189	328
366	189	327
367	190	326
368	190	326
369	191	325
370	191	324
371	191	323
372	192	322
373	192	322
374	192	321
375	192	320
376	193	319
377	193	318
378	193	317
379	194	316
380	194	315
381	194	315
382	195	314
383	195	313
384	195	312
385	195	311
386	196	310
387	196	310
388	197	309
389	197	308
390	197	307
391	197	307
392	198	306
393	198	305
394	198	304
395	199	303
396	199	302
397	199	302
398	200	301
399	200	300
400	200	299
401	201	299
