iter	Passed	Remaining
0	59	59445
1	59	29898
2	60	20089
3	60	15149
4	61	12191
5	61	10221
6	62	8819
7	62	7757
8	62	6932
9	63	6274
10	63	5732
11	64	5283
12	64	4907
13	65	4584
14	65	4300
15	66	4063
16	66	3853
17	67	3658
18	67	3483
19	67	3326
20	68	3185
21	68	3056
22	69	2940
23	69	2832
24	70	2734
25	70	2647
26	71	2568
27	71	2494
28	72	2429
29	73	2366
30	73	2307
31	74	2252
32	75	2200
33	75	2152
34	76	2106
35	77	2063
36	77	2021
37	78	1982
38	79	1946
39	79	1913
40	80	1884
41	81	1852
42	81	1822
43	82	1792
44	83	1764
45	83	1737
46	84	1711
47	84	1684
48	85	1659
49	85	1633
50	86	1607
51	86	1584
52	87	1564
53	88	1547
54	88	1529
55	89	1508
56	89	1488
57	90	1469
58	91	1452
59	91	1434
60	92	1417
61	92	1401
62	93	1384
63	93	1368
64	94	1353
65	94	1342
66	95	1328
67	95	1314
68	96	1301
69	96	1287
70	97	1273
71	97	1261
72	98	1249
73	98	1237
74	99	1225
75	99	1214
76	100	1203
77	100	1192
78	101	1182
79	101	1171
80	102	1163
81	103	1154
82	103	1141
83	103	1131
84	104	1122
85	104	1113
86	105	1105
87	105	1096
88	106	1087
89	106	1078
90	107	1069
91	107	1061
92	108	1053
93	108	1045
94	108	1037
95	109	1031
96	110	1024
97	110	1017
98	111	1011
99	111	1003
100	111	996
101	112	990
102	113	984
103	113	978
104	113	971
105	114	966
106	115	961
107	115	956
108	116	952
109	117	947
110	117	943
111	118	939
112	119	935
113	119	931
114	120	927
115	121	922
116	121	917
117	122	913
118	122	909
119	123	906
120	124	902
121	124	897
122	125	893
123	125	890
124	126	886
125	127	884
126	127	879
127	128	875
128	129	871
129	129	867
130	130	862
131	130	858
132	131	854
133	131	850
134	131	845
135	132	841
136	132	836
137	133	832
138	133	829
139	134	824
140	134	820
141	134	815
142	135	811
143	135	807
144	136	803
145	136	799
146	137	795
147	137	791
148	137	787
149	138	783
150	138	780
151	139	777
152	139	773
153	140	769
154	140	765
155	140	762
156	141	758
157	141	754
158	141	750
159	142	746
160	142	742
161	142	738
162	143	734
163	143	731
164	143	727
165	144	724
166	144	720
167	144	717
168	145	714
169	145	711
170	146	708
171	146	704
172	146	701
173	147	699
174	147	696
175	148	693
176	148	689
177	148	686
178	149	683
179	149	680
180	149	677
181	150	674
182	150	671
183	150	668
184	151	665
185	151	662
186	151	659
187	152	657
188	152	654
189	153	652
190	153	649
191	153	646
192	154	644
193	154	642
194	154	639
195	155	637
196	155	634
197	155	631
198	156	629
199	156	626
200	157	624
201	157	622
202	158	621
203	159	620
204	159	619
205	160	618
206	161	616
207	161	615
208	162	614
209	162	612
210	163	612
211	164	610
212	164	609
213	165	608
214	166	607
215	167	606
216	167	605
217	168	604
218	169	602
